filename,public_url_path,true_label,predicted_label,confidence_in_predicted_class,probabilities,why_the_model_may_have_struggled
000_trueai_predhuman_p0.892_100960167.jpg.jpg,/failures/000_trueai_predhuman_p0.892_100960167.jpg.jpg,ai,human,0.892232,"{'ai': 0.10776784271001816, 'human': 0.8922321796417236}","['Geometry: 720×1280px, aspect ratio 0.56. Laplacian variance ≈ 208.0 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 48.7 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
001_trueai_predhuman_p0.784_8A9FC0D0-D02D-4909-8E7B90874F98DBF2_source.jpg.jpg,/failures/001_trueai_predhuman_p0.784_8A9FC0D0-D02D-4909-8E7B90874F98DBF2_source.jpg.jpg,ai,human,0.783907,"{'ai': 0.21609286963939667, 'human': 0.7839071154594421}","['Geometry: 1536×1331px, aspect ratio 1.15. Laplacian variance ≈ 634.5 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 46.7 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
002_trueai_predhuman_p0.867_Animals04april2023.jpg.jpg,/failures/002_trueai_predhuman_p0.867_Animals04april2023.jpg.jpg,ai,human,0.866992,"{'ai': 0.13300833106040955, 'human': 0.8669916391372681}","['Geometry: 594×404px, aspect ratio 1.47. Laplacian variance ≈ 2538.9 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 52.4 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
003_trueai_predhuman_p0.944_Bu69yrI45ueNWQX84ap5.jpg.jpg,/failures/003_trueai_predhuman_p0.944_Bu69yrI45ueNWQX84ap5.jpg.jpg,ai,human,0.94403,"{'ai': 0.05597027391195297, 'human': 0.944029688835144}","['Geometry: 1024×768px, aspect ratio 1.33. Laplacian variance ≈ 351.3 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 63.4 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
004_trueai_predhuman_p0.819_Dave-McKean-3.jpeg.jpeg,/failures/004_trueai_predhuman_p0.819_Dave-McKean-3.jpeg.jpeg,ai,human,0.818999,"{'ai': 0.18100063502788544, 'human': 0.8189994096755981}","['Geometry: 2048×1536px, aspect ratio 1.33. Laplacian variance ≈ 32.3 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 51.9 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: very smooth, low-detail regions are a cue the model often associates with generative art; minimalist human work can be unfairly pulled toward 'AI'."", 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
005_trueai_predhuman_p0.820_Julian-van-Dieken_A-Girl-With-Glowing-Earrings-.png.png,/failures/005_trueai_predhuman_p0.820_Julian-van-Dieken_A-Girl-With-Glowing-Earrings-.png.png,ai,human,0.819978,"{'ai': 0.18002185225486755, 'human': 0.8199781775474548}","['Geometry: 652×815px, aspect ratio 0.80. Laplacian variance ≈ 132.6 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 57.8 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
006_trueai_predhuman_p0.894_ai-generated-8247695_1280.jpg.jpg,/failures/006_trueai_predhuman_p0.894_ai-generated-8247695_1280.jpg.jpg,ai,human,0.894141,"{'ai': 0.10585933923721313, 'human': 0.8941406607627869}","['Geometry: 853×1280px, aspect ratio 0.67. Laplacian variance ≈ 690.2 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 48.6 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
007_trueai_predhuman_p0.870_robot-monitoring-dairy-farm-1200x800-1.jpg.jpg,/failures/007_trueai_predhuman_p0.870_robot-monitoring-dairy-farm-1200x800-1.jpg.jpg,ai,human,0.870492,"{'ai': 0.1295083910226822, 'human': 0.8704915642738342}","['Geometry: 1200×800px, aspect ratio 1.50. Laplacian variance ≈ 674.5 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 72.9 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: brushy strokes, noise, or traditional-media mimicry in AI outputs overlap human-art texture statistics the model relied on.']"
008_truehuman_predai_p0.970_172711.jpg.jpg,/failures/008_truehuman_predai_p0.970_172711.jpg.jpg,human,ai,0.970257,"{'ai': 0.970256507396698, 'human': 0.029743487015366554}","['Geometry: 867×1300px, aspect ratio 0.67. Laplacian variance ≈ 5086.7 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 75.0 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
009_truehuman_predai_p0.917_Fschl-Eric_TrumpMug.jpg.jpg,/failures/009_truehuman_predai_p0.917_Fschl-Eric_TrumpMug.jpg.jpg,human,ai,0.916673,"{'ai': 0.9166730642318726, 'human': 0.08332695811986923}","['Geometry: 1280×960px, aspect ratio 1.33. Laplacian variance ≈ 427.2 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 59.8 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
010_truehuman_predai_p0.760_PaintingBBR147_1.jpg.jpg,/failures/010_truehuman_predai_p0.760_PaintingBBR147_1.jpg.jpg,human,ai,0.760441,"{'ai': 0.7604409456253052, 'human': 0.2395591139793396}","['Geometry: 1500×1500px, aspect ratio 1.00. Laplacian variance ≈ 594.8 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 71.1 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
011_truehuman_predai_p0.820_Shelley-Newman-Watching-The-Show-2022.jpg.jpg,/failures/011_truehuman_predai_p0.820_Shelley-Newman-Watching-The-Show-2022.jpg.jpg,human,ai,0.819549,"{'ai': 0.8195488452911377, 'human': 0.1804511398077011}","['Geometry: 742×745px, aspect ratio 1.00. Laplacian variance ≈ 2931.5 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 62.4 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
012_truehuman_predai_p0.725_beautiful-nature-scenery-smartphone-wallpaper-free-photo.jpg.jpg,/failures/012_truehuman_predai_p0.725_beautiful-nature-scenery-smartphone-wallpaper-free-photo.jpg.jpg,human,ai,0.725481,"{'ai': 0.7254805564880371, 'human': 0.27451950311660767}","['Geometry: 3264×5824px, aspect ratio 0.56. Laplacian variance ≈ 889.8 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 66.9 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
013_truehuman_predai_p0.749_cat-with-ducklings.jpg.jpg,/failures/013_truehuman_predai_p0.749_cat-with-ducklings.jpg.jpg,human,ai,0.749204,"{'ai': 0.7492038011550903, 'human': 0.25079622864723206}","['Geometry: 1080×720px, aspect ratio 1.50. Laplacian variance ≈ 929.5 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 67.2 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
014_truehuman_predai_p0.811_ef2646b821cca54a5ad1cdfcf95d2a1a.jpg.jpg,/failures/014_truehuman_predai_p0.811_ef2646b821cca54a5ad1cdfcf95d2a1a.jpg.jpg,human,ai,0.811378,"{'ai': 0.8113778233528137, 'human': 0.18862216174602509}","['Geometry: 681×960px, aspect ratio 0.71. Laplacian variance ≈ 189.2 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 56.0 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
015_truehuman_predai_p0.855_female-face-girl-with-wind-in-hair.jpg.jpg,/failures/015_truehuman_predai_p0.855_female-face-girl-with-wind-in-hair.jpg.jpg,human,ai,0.855087,"{'ai': 0.8550868630409241, 'human': 0.14491315186023712}","['Geometry: 467×700px, aspect ratio 0.67. Laplacian variance ≈ 310.4 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 40.2 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
016_truehuman_predai_p0.926_homeless-man-color-poverty.jpg.jpg,/failures/016_truehuman_predai_p0.926_homeless-man-color-poverty.jpg.jpg,human,ai,0.926261,"{'ai': 0.9262609481811523, 'human': 0.07373903691768646}","['Geometry: 4000×5000px, aspect ratio 0.80. Laplacian variance ≈ 1606.8 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 61.9 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
017_truehuman_predai_p0.762_wers-blooming-green-grass-spring-concept-generative-ai-technology-free-p.jpg,/failures/017_truehuman_predai_p0.762_wers-blooming-green-grass-spring-concept-generative-ai-technology-free-p.jpg,human,ai,0.762303,"{'ai': 0.762302815914154, 'human': 0.23769716918468475}","['Geometry: 347×200px, aspect ratio 1.74. Laplacian variance ≈ 1526.1 (proxy for fine detail / sharpness).', 'Color spread (mean BGR channel std) ≈ 62.1 — richer palettes can correlate with either photographic captures or heavily stylized AI outputs.', ""HCI angle: strong micro-texture can look 'physical' or photographic; synthetic images that mimic film grain or canvas can be mislabeled as human."", 'Possible failure story: clean vector-like composition, flat shading, or digital poster aesthetics overlap the training distribution of AI samples.']"
